Name,Type,Modality,Sphere,Cylinder,Axis,Add,BC,TD
Alcon Focus Dailies Progressives All Day Comfort,Multifocal,Daily,-0.25,,,,8.6,13.8
Alcon Focus Dailies Progressives All Day Comfort,Multifocal,Daily,-0.50,,,,8.6,13.8
Alcon Focus Dailies Progressives All Day Comfort,Multifocal,Daily,-0.75,,,,8.6,13.8
Alcon Focus Dailies Progressives All Day Comfort,Multifocal,Daily,-1.00,,,,8.6,13.8
Alcon Focus Dailies Progressives All Day Comfort,Multifocal,Daily,-1.25,,,,8.6,13.8
Alcon Focus Dailies Progressives All Day Comfort,Multifocal,Daily,-1.50,,,,8.6,13.8
Alcon Focus Dailies Progressives All Day Comfort,Multifocal,Daily,-1.75,,,,8.6,13.8
Alcon Focus Dailies Progressives All Day Comfort,Multifocal,Daily,-2.00,,,,8.6,13.8
Alcon Focus Dailies Progressives All Day Comfort,Multifocal,Daily,-2.25,,,,8.6,13.8
Alcon Focus Dailies Progressives All Day Comfort,Multifocal,Daily,-2.50,,,,8.6,13.8
Alcon Focus Dailies Progressives All Day Comfort,Multifocal,Daily,-2.75,,,,8.6,13.8
Alcon Focus Dailies Progressives All Day Comfort,Multifocal,Daily,-3.00,,,,8.6,13.8
Alcon Focus Dailies Progressives All Day Comfort,Multifocal,Daily,-3.25,,,,8.6,13.8
Alcon Focus Dailies Progressives All Day Comfort,Multifocal,Daily,-3.50,,,,8.6,13.8
Alcon Focus Dailies Progressives All Day Comfort,Multifocal,Daily,-3.75,,,,8.6,13.8
Alcon Focus Dailies Progressives All Day Comfort,Multifocal,Daily,-4.00,,,,8.6,13.8
Alcon Focus Dailies Progressives All Day Comfort,Multifocal,Daily,-4.25,,,,8.6,13.8
Alcon Focus Dailies Progressives All Day Comfort,Multifocal,Daily,-4.50,,,,8.6,13.8
Alcon Focus Dailies Progressives All Day Comfort,Multifocal,Daily,-4.75,,,,8.6,13.8
Alcon Focus Dailies Progressives All Day Comfort,Multifocal,Daily,-5.00,,,,8.6,13.8
Alcon Focus Dailies Progressives All Day Comfort,Multifocal,Daily,-5.25,,,,8.6,13.8
Alcon Focus Dailies Progressives All Day Comfort,Multifocal,Daily,-5.50,,,,8.6,13.8
Alcon Focus Dailies Progressives All Day Comfort,Multifocal,Daily,-5.75,,,,8.6,13.8
Alcon Focus Dailies Progressives All Day Comfort,Multifocal,Daily,-6.00,,,,8.6,13.8
Alcon Focus Dailies Progressives All Day Comfort,Multifocal,Daily,0.00,,,,8.6,13.8
Alcon Focus Dailies Progressives All Day Comfort,Multifocal,Daily,0.25,,,,8.6,13.8
Alcon Focus Dailies Progressives All Day Comfort,Multifocal,Daily,0.50,,,,8.6,13.8
Alcon Focus Dailies Progressives All Day Comfort,Multifocal,Daily,0.75,,,,8.6,13.8
Alcon Focus Dailies Progressives All Day Comfort,Multifocal,Daily,1.00,,,,8.6,13.8
Alcon Focus Dailies Progressives All Day Comfort,Multifocal,Daily,1.25,,,,8.6,13.8
Alcon Focus Dailies Progressives All Day Comfort,Multifocal,Daily,1.50,,,,8.6,13.8
Alcon Focus Dailies Progressives All Day Comfort,Multifocal,Daily,1.75,,,,8.6,13.8
Alcon Focus Dailies Progressives All Day Comfort,Multifocal,Daily,2.00,,,,8.6,13.8
