Name,Type,Modality,Sphere -,Cylinder,Axis,Add,BC,TD
Alcon Focus Dailies All Day Comfort,Spherical,Daily,-0.50,,,,8.6,13.8
Alcon Focus Dailies All Day Comfort,Spherical,Daily,-0.75,,,,8.6,13.8
Alcon Focus Dailies All Day Comfort,Spherical,Daily,-1.00,,,,8.6,13.8
Alcon Focus Dailies All Day Comfort,Spherical,Daily,-1.25,,,,8.6,13.8
Alcon Focus Dailies All Day Comfort,Spherical,Daily,-1.50,,,,8.6,13.8
Alcon Focus Dailies All Day Comfort,Spherical,Daily,-1.75,,,,8.6,13.8
Alcon Focus Dailies All Day Comfort,Spherical,Daily,-2.00,,,,8.6,13.8
Alcon Focus Dailies All Day Comfort,Spherical,Daily,-2.25,,,,8.6,13.8
Alcon Focus Dailies All Day Comfort,Spherical,Daily,-2.50,,,,8.6,13.8
Alcon Focus Dailies All Day Comfort,Spherical,Daily,-2.75,,,,8.6,13.8
Alcon Focus Dailies All Day Comfort,Spherical,Daily,-3.00,,,,8.6,13.8
Alcon Focus Dailies All Day Comfort,Spherical,Daily,-3.25,,,,8.6,13.8
Alcon Focus Dailies All Day Comfort,Spherical,Daily,-3.50,,,,8.6,13.8
Alcon Focus Dailies All Day Comfort,Spherical,Daily,-3.75,,,,8.6,13.8
Alcon Focus Dailies All Day Comfort,Spherical,Daily,-4.00,,,,8.6,13.8
Alcon Focus Dailies All Day Comfort,Spherical,Daily,-4.25,,,,8.6,13.8
Alcon Focus Dailies All Day Comfort,Spherical,Daily,-4.50,,,,8.6,13.8
Alcon Focus Dailies All Day Comfort,Spherical,Daily,-4.75,,,,8.6,13.8
Alcon Focus Dailies All Day Comfort,Spherical,Daily,-5.00,,,,8.6,13.8
Alcon Focus Dailies All Day Comfort,Spherical,Daily,-5.25,,,,8.6,13.8
Alcon Focus Dailies All Day Comfort,Spherical,Daily,-5.50,,,,8.6,13.8
Alcon Focus Dailies All Day Comfort,Spherical,Daily,-5.75,,,,8.6,13.8
Alcon Focus Dailies All Day Comfort,Spherical,Daily,-6.00,,,,8.6,13.8
Alcon Focus Dailies All Day Comfort,Spherical,Daily,-6.50,,,,8.6,13.8
Alcon Focus Dailies All Day Comfort,Spherical,Daily,-7.00,,,,8.6,13.8
Alcon Focus Dailies All Day Comfort,Spherical,Daily,-7.50,,,,8.6,13.8
Alcon Focus Dailies All Day Comfort,Spherical,Daily,-8.00,,,,8.6,13.8
Alcon Focus Dailies All Day Comfort,Spherical,Daily,-8.50,,,,8.6,13.8
Alcon Focus Dailies All Day Comfort,Spherical,Daily,-9.00,,,,8.6,13.8
Alcon Focus Dailies All Day Comfort,Spherical,Daily,-9.50,,,,8.6,13.8
Alcon Focus Dailies All Day Comfort,Spherical,Daily,-10.00,,,,8.6,13.8
Alcon Focus Dailies All Day Comfort,Spherical,Daily,0.50,,,,8.6,13.8
Alcon Focus Dailies All Day Comfort,Spherical,Daily,0.75,,,,8.6,13.8
Alcon Focus Dailies All Day Comfort,Spherical,Daily,1.00,,,,8.6,13.8
Alcon Focus Dailies All Day Comfort,Spherical,Daily,1.25,,,,8.6,13.8
Alcon Focus Dailies All Day Comfort,Spherical,Daily,1.50,,,,8.6,13.8
Alcon Focus Dailies All Day Comfort,Spherical,Daily,1.75,,,,8.6,13.8
