Name,Type,Modality,Sphere ,Cylinder,Axis,Add,BC,TD
Alcon Focus Dailies Toric All Day Comfort,Toric,Daily,-0.25,-0.75,20,,8.6,14.2
Alcon Focus Dailies Toric All Day Comfort,Toric,Daily,-0.25,-0.75,70,,8.6,14.2
Alcon Focus Dailies Toric All Day Comfort,Toric,Daily,-0.25,-0.75,90,,8.6,14.2
Alcon Focus Dailies Toric All Day Comfort,Toric,Daily,-0.25,-0.75,110,,8.6,14.2
Alcon Focus Dailies Toric All Day Comfort,Toric,Daily,-0.25,-0.75,160,,8.6,14.2
Alcon Focus Dailies Toric All Day Comfort,Toric,Daily,-0.25,-0.75,180,,8.6,14.2
Alcon Focus Dailies Toric All Day Comfort,Toric,Daily,-0.25,-1.50,20,,8.6,14.2
Alcon Focus Dailies Toric All Day Comfort,Toric,Daily,-0.25,-1.50,70,,8.6,14.2
Alcon Focus Dailies Toric All Day Comfort,Toric,Daily,-0.25,-1.50,90,,8.6,14.2
Alcon Focus Dailies Toric All Day Comfort,Toric,Daily,-0.25,-1.50,110,,8.6,14.2
Alcon Focus Dailies Toric All Day Comfort,Toric,Daily,-0.25,-1.50,160,,8.6,14.2
Alcon Focus Dailies Toric All Day Comfort,Toric,Daily,-0.25,-1.50,180,,8.6,14.2
Alcon Focus Dailies Toric All Day Comfort,Toric,Daily,-0.50,-0.75,20,,8.6,14.2
Alcon Focus Dailies Toric All Day Comfort,Toric,Daily,-0.50,-0.75,70,,8.6,14.2
Alcon Focus Dailies Toric All Day Comfort,Toric,Daily,-0.50,-0.75,90,,8.6,14.2
Alcon Focus Dailies Toric All Day Comfort,Toric,Daily,-0.50,-0.75,110,,8.6,14.2
Alcon Focus Dailies Toric All Day Comfort,Toric,Daily,-0.50,-0.75,160,,8.6,14.2
Alcon Focus Dailies Toric All Day Comfort,Toric,Daily,-0.50,-0.75,180,,8.6,14.2
Alcon Focus Dailies Toric All Day Comfort,Toric,Daily,-0.50,-1.50,20,,8.6,14.2
Alcon Focus Dailies Toric All Day Comfort,Toric,Daily,-0.50,-1.50,70,,8.6,14.2
Alcon Focus Dailies Toric All Day Comfort,Toric,Daily,-0.50,-1.50,90,,8.6,14.2
Alcon Focus Dailies Toric All Day Comfort,Toric,Daily,-0.50,-1.50,110,,8.6,14.2
Alcon Focus Dailies Toric All Day Comfort,Toric,Daily,-0.50,-1.50,160,,8.6,14.2
Alcon Focus Dailies Toric All Day Comfort,Toric,Daily,-0.50,-1.50,180,,8.6,14.2
