Name,Type,Modality,Sphere,Cylinder,Axis,Add,BC,TD
Air Optix Aqua Multifocal,Multifocal,Monthly,-0.25,,,LOW,8.60,14.20
Air Optix Aqua Multifocal,Multifocal,Monthly,-0.25,,,MED,8.60,14.20
Air Optix Aqua Multifocal,Multifocal,Monthly,-0.25,,,HIGH,8.60,14.20
Air Optix Aqua Multifocal,Multifocal,Monthly,-0.50,,,LOW,8.60,14.20
Air Optix Aqua Multifocal,Multifocal,Monthly,-0.50,,,MED,8.60,14.20
Air Optix Aqua Multifocal,Multifocal,Monthly,-0.50,,,HIGH,8.60,14.20
Air Optix Aqua Multifocal,Multifocal,Monthly,-0.75,,,LOW,8.60,14.20
Air Optix Aqua Multifocal,Multifocal,Monthly,-0.75,,,MED,8.60,14.20
Air Optix Aqua Multifocal,Multifocal,Monthly,-0.75,,,HIGH,8.60,14.20
Air Optix Aqua Multifocal,Multifocal,Monthly,-1.00,,,LOW,8.60,14.20
Air Optix Aqua Multifocal,Multifocal,Monthly,-1.00,,,MED,8.60,14.20
Air Optix Aqua Multifocal,Multifocal,Monthly,-1.00,,,HIGH,8.60,14.20
Air Optix Aqua Multifocal,Multifocal,Monthly,-1.25,,,LOW,8.60,14.20
Air Optix Aqua Multifocal,Multifocal,Monthly,-1.25,,,MED,8.60,14.20
Air Optix Aqua Multifocal,Multifocal,Monthly,-1.25,,,HIGH,8.60,14.20
Air Optix Aqua Multifocal,Multifocal,Monthly,-1.50,,,LOW,8.60,14.20
Air Optix Aqua Multifocal,Multifocal,Monthly,-1.50,,,MED,8.60,14.20
Air Optix Aqua Multifocal,Multifocal,Monthly,-1.50,,,HIGH,8.60,14.20
Air Optix Aqua Multifocal,Multifocal,Monthly,-1.75,,,LOW,8.60,14.20
Air Optix Aqua Multifocal,Multifocal,Monthly,-1.75,,,MED,8.60,14.20
Air Optix Aqua Multifocal,Multifocal,Monthly,-1.75,,,HIGH,8.60,14.20
Air Optix Aqua Multifocal,Multifocal,Monthly,-2.00,,,LOW,8.60,14.20
Air Optix Aqua Multifocal,Multifocal,Monthly,-2.00,,,MED,8.60,14.20
Air Optix Aqua Multifocal,Multifocal,Monthly,-2.00,,,HIGH,8.60,14.20
Air Optix Aqua Multifocal,Multifocal,Monthly,-2.25,,,LOW,8.60,14.20
Air Optix Aqua Multifocal,Multifocal,Monthly,-2.25,,,MED,8.60,14.20
Air Optix Aqua Multifocal,Multifocal,Monthly,-2.25,,,HIGH,8.60,14.20
Air Optix Aqua Multifocal,Multifocal,Monthly,-2.50,,,LOW,8.60,14.20
Air Optix Aqua Multifocal,Multifocal,Monthly,-2.50,,,MED,8.60,14.20
Air Optix Aqua Multifocal,Multifocal,Monthly,-2.50,,,HIGH,8.60,14.20
Air Optix Aqua Multifocal,Multifocal,Monthly,-2.75,,,LOW,8.60,14.20
Air Optix Aqua Multifocal,Multifocal,Monthly,-2.75,,,MED,8.60,14.20
Air Optix Aqua Multifocal,Multifocal,Monthly,-2.75,,,HIGH,8.60,14.20
Air Optix Aqua Multifocal,Multifocal,Monthly,-3.00,,,LOW,8.60,14.20
Air Optix Aqua Multifocal,Multifocal,Monthly,-3.00,,,MED,8.60,14.20
