Name,Type,Modality,Sphere,Cylinder,Axis,Add,BC,TD
Air Optix for Astigmatism,Toric,Extended Wear ,-0.25,-0.75,10,,8.70,14.50
Air Optix for Astigmatism,Toric,Extended Wear ,-0.25,-1.25,10,,8.70,14.50
Air Optix for Astigmatism,Toric,Extended Wear ,-0.25,-1.75,10,,8.70,14.50
Air Optix for Astigmatism,Toric,Extended Wear ,-0.25,-2.25,10,,8.70,14.50
Air Optix for Astigmatism,Toric,Extended Wear ,-0.25,-0.75,20,,8.70,14.50
Air Optix for Astigmatism,Toric,Extended Wear ,-0.25,-1.25,20,,8.70,14.50
Air Optix for Astigmatism,Toric,Extended Wear ,-0.25,-1.75,20,,8.70,14.50
Air Optix for Astigmatism,Toric,Extended Wear ,-0.25,-2.25,20,,8.70,14.50
Air Optix for Astigmatism,Toric,Extended Wear ,-0.25,-0.75,30,,8.70,14.50
Air Optix for Astigmatism,Toric,Extended Wear ,-0.25,-1.25,30,,8.70,14.50
Air Optix for Astigmatism,Toric,Extended Wear ,-0.25,-1.75,30,,8.70,14.50
Air Optix for Astigmatism,Toric,Extended Wear ,-0.25,-2.25,30,,8.70,14.50
Air Optix for Astigmatism,Toric,Extended Wear ,-0.25,-0.75,40,,8.70,14.50
Air Optix for Astigmatism,Toric,Extended Wear ,-0.25,-1.25,40,,8.70,14.50
Air Optix for Astigmatism,Toric,Extended Wear ,-0.25,-1.75,40,,8.70,14.50
Air Optix for Astigmatism,Toric,Extended Wear ,-0.25,-2.25,40,,8.70,14.50
Air Optix for Astigmatism,Toric,Extended Wear ,-0.25,-0.75,50,,8.70,14.50
Air Optix for Astigmatism,Toric,Extended Wear ,-0.25,-1.25,50,,8.70,14.50
Air Optix for Astigmatism,Toric,Extended Wear ,-0.25,-1.75,50,,8.70,14.50
Air Optix for Astigmatism,Toric,Extended Wear ,-0.25,-2.25,50,,8.70,14.50
Air Optix for Astigmatism,Toric,Extended Wear ,-0.25,-0.75,60,,8.70,14.50
Air Optix for Astigmatism,Toric,Extended Wear ,-0.25,-1.25,60,,8.70,14.50
Air Optix for Astigmatism,Toric,Extended Wear ,-0.25,-1.75,60,,8.70,14.50
Air Optix for Astigmatism,Toric,Extended Wear ,-0.25,-2.25,60,,8.70,14.50
Air Optix for Astigmatism,Toric,Extended Wear ,-0.25,-0.75,70,,8.70,14.50
Air Optix for Astigmatism,Toric,Extended Wear ,-0.25,-1.25,70,,8.70,14.50
Air Optix for Astigmatism,Toric,Extended Wear ,-0.25,-1.75,70,,8.70,14.50
Air Optix for Astigmatism,Toric,Extended Wear ,-0.25,-2.25,70,,8.70,14.50
Air Optix for Astigmatism,Toric,Extended Wear ,-0.25,-0.75,80,,8.70,14.50
Air Optix for Astigmatism,Toric,Extended Wear ,-0.25,-1.25,80,,8.70,14.50
Air Optix for Astigmatism,Toric,Extended Wear ,-0.25,-1.75,80,,8.70,14.50
Air Optix for Astigmatism,Toric,Extended Wear ,-0.25,-2.25,80,,8.70,14.50
Air Optix for Astigmatism,Toric,Extended Wear ,-0.25,-0.75,90,,8.70,14.50
Air Optix for Astigmatism,Toric,Extended Wear ,-0.25,-1.25,90,,8.70,14.50
Air Optix for Astigmatism,Toric,Extended Wear ,-0.25,-1.75,90,,8.70,14.50
Air Optix for Astigmatism,Toric,Extended Wear ,-0.25,-2.25,90,,8.70,14.50
Air Optix for Astigmatism,Toric,Extended Wear ,-0.25,-0.75,100,,8.70,14.50
Air Optix for Astigmatism,Toric,Extended Wear ,-0.25,-1.25,100,,8.70,14.50
