Name,Type,Modality,Sphere -,Cylinder,Axis,Add,BC,TD
Coopervision BIOMEDICS 1 Day Extra | Clarision sphere easyvision,Spherical,Daily,-0.25,,,,8.6,14.2
Coopervision BIOMEDICS 1 Day Extra | Clarision sphere easyvision,Spherical,Daily,-0.50,,,,8.6,14.2
Coopervision BIOMEDICS 1 Day Extra | Clarision sphere easyvision,Spherical,Daily,-0.75,,,,8.6,14.2
Coopervision BIOMEDICS 1 Day Extra | Clarision sphere easyvision,Spherical,Daily,-1.00,,,,8.6,14.2
Coopervision BIOMEDICS 1 Day Extra | Clarision sphere easyvision,Spherical,Daily,-1.25,,,,8.6,14.2
Coopervision BIOMEDICS 1 Day Extra | Clarision sphere easyvision,Spherical,Daily,-1.50,,,,8.6,14.2
Coopervision BIOMEDICS 1 Day Extra | Clarision sphere easyvision,Spherical,Daily,-1.75,,,,8.6,14.2
Coopervision BIOMEDICS 1 Day Extra | Clarision sphere easyvision,Spherical,Daily,-2.00,,,,8.6,14.2
Coopervision BIOMEDICS 1 Day Extra | Clarision sphere easyvision,Spherical,Daily,-2.25,,,,8.6,14.2
Coopervision BIOMEDICS 1 Day Extra | Clarision sphere easyvision,Spherical,Daily,-2.50,,,,8.6,14.2
Coopervision BIOMEDICS 1 Day Extra | Clarision sphere easyvision,Spherical,Daily,-2.75,,,,8.6,14.2
Coopervision BIOMEDICS 1 Day Extra | Clarision sphere easyvision,Spherical,Daily,-3.00,,,,8.6,14.2
Coopervision BIOMEDICS 1 Day Extra | Clarision sphere easyvision,Spherical,Daily,-3.25,,,,8.6,14.2
Coopervision BIOMEDICS 1 Day Extra | Clarision sphere easyvision,Spherical,Daily,-3.50,,,,8.6,14.2
Coopervision BIOMEDICS 1 Day Extra | Clarision sphere easyvision,Spherical,Daily,-3.75,,,,8.6,14.2
Coopervision BIOMEDICS 1 Day Extra | Clarision sphere easyvision,Spherical,Daily,-4.00,,,,8.6,14.2
Coopervision BIOMEDICS 1 Day Extra | Clarision sphere easyvision,Spherical,Daily,-4.25,,,,8.6,14.2
Coopervision BIOMEDICS 1 Day Extra | Clarision sphere easyvision,Spherical,Daily,-4.50,,,,8.6,14.2
Coopervision BIOMEDICS 1 Day Extra | Clarision sphere easyvision,Spherical,Daily,-4.75,,,,8.6,14.2
Coopervision BIOMEDICS 1 Day Extra | Clarision sphere easyvision,Spherical,Daily,-5.00,,,,8.6,14.2
Coopervision BIOMEDICS 1 Day Extra | Clarision sphere easyvision,Spherical,Daily,-5.25,,,,8.6,14.2
Coopervision BIOMEDICS 1 Day Extra | Clarision sphere easyvision,Spherical,Daily,-5.50,,,,8.6,14.2
Coopervision BIOMEDICS 1 Day Extra | Clarision sphere easyvision,Spherical,Daily,-5.75,,,,8.6,14.2
Coopervision BIOMEDICS 1 Day Extra | Clarision sphere easyvision,Spherical,Daily,-6.00,,,,8.6,14.2
Coopervision BIOMEDICS 1 Day Extra | Clarision sphere easyvision,Spherical,Daily,-6.50,,,,8.6,14.2
Coopervision BIOMEDICS 1 Day Extra | Clarision sphere easyvision,Spherical,Daily,-7.00,,,,8.6,14.2
Coopervision BIOMEDICS 1 Day Extra | Clarision sphere easyvision,Spherical,Daily,-7.50,,,,8.6,14.2
Coopervision BIOMEDICS 1 Day Extra | Clarision sphere easyvision,Spherical,Daily,-8.00,,,,8.6,14.2
Coopervision BIOMEDICS 1 Day Extra | Clarision sphere easyvision,Spherical,Daily,-8.50,,,,8.6,14.2
Coopervision BIOMEDICS 1 Day Extra | Clarision sphere easyvision,Spherical,Daily,-9.00,,,,8.6,14.2
Coopervision BIOMEDICS 1 Day Extra | Clarision sphere easyvision,Spherical,Daily,-9.50,,,,8.6,14.2
Coopervision BIOMEDICS 1 Day Extra | Clarision sphere easyvision,Spherical,Daily,-10.00,,,,8.6,14.2
Coopervision BIOMEDICS 1 Day Extra | Clarision sphere easyvision,Spherical,Daily,0.25,,,,8.8,14.2
Coopervision BIOMEDICS 1 Day Extra | Clarision sphere easyvision,Spherical,Daily,0.50,,,,8.8,14.2
Coopervision BIOMEDICS 1 Day Extra | Clarision sphere easyvision,Spherical,Daily,0.75,,,,8.8,14.2
Coopervision BIOMEDICS 1 Day Extra | Clarision sphere easyvision,Spherical,Daily,1.00,,,,8.8,14.2
Coopervision BIOMEDICS 1 Day Extra | Clarision sphere easyvision,Spherical,Daily,1.25,,,,8.8,14.2
Coopervision BIOMEDICS 1 Day Extra | Clarision sphere easyvision,Spherical,Daily,1.50,,,,8.8,14.2
Coopervision BIOMEDICS 1 Day Extra | Clarision sphere easyvision,Spherical,Daily,1.75,,,,8.8,14.2
Coopervision BIOMEDICS 1 Day Extra | Clarision sphere easyvision,Spherical,Daily,2.00,,,,8.8,14.2
Coopervision BIOMEDICS 1 Day Extra | Clarision sphere easyvision,Spherical,Daily,2.25,,,,8.8,14.2
Coopervision BIOMEDICS 1 Day Extra | Clarision sphere easyvision,Spherical,Daily,2.50,,,,8.8,14.2
Coopervision BIOMEDICS 1 Day Extra | Clarision sphere easyvision,Spherical,Daily,2.75,,,,8.8,14.2
Coopervision BIOMEDICS 1 Day Extra | Clarision sphere easyvision,Spherical,Daily,3.00,,,,8.8,14.2
Coopervision BIOMEDICS 1 Day Extra | Clarision sphere easyvision,Spherical,Daily,3.25,,,,8.8,14.2
Coopervision BIOMEDICS 1 Day Extra | Clarision sphere easyvision,Spherical,Daily,3.50,,,,8.8,14.2
